state,total_victims
 Arizona,19
 Arkansas,15
 California,299
 Colorado,142
 Connecticut,46
 D.C.,20
 Florida,235
 Georgia,27
 Hawaii,7
 Illinois,49
 Iowa,7
 Kansas,17
 Kentucky,28
 Lousiana,6
 Maryland,19
 Massachusetts,7
 Michigan,18
 Minnesota,23
 Mississippi,15
 Missouri,8
 Nebraska,13
 Nevada,616
 New Jersey,7
 New York,55
 North Carolina,23
 Ohio,56
 Oklahoma,21
 Oregon,47
 Pennsylvania,40
 South Carolina,17
 Tennessee,15
 Texas,296
 Utah,10
 Virginia,71
 Washington,65
 Wisconsin,37
